state,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income
MA,02663,0.06757903649804664,107024.5,0.06504065040650407,0.9349593495934959,0.09104414261460102,104119.0
MA,02652,0.08333333333333333,107024.5,0.49134199134199136,0.5086580086580087,0.06386292834890965,91153.0
MA,01066,0.6194029850746269,107024.5,0.6296296296296297,0.37037037037037035,0.43333333333333335,16546.0
MA,02647,0.06757903649804664,107024.5,0.12849162011173185,0.8715083798882681,0.09104414261460102,82214.0
MA,02641,0.06757903649804664,107024.5,0.12295081967213115,0.8770491803278688,0.09104414261460102,73811.0
MA,02457,0.06757903649804664,107024.5,0.36363636363636365,0.6363636363636364,0.09104414261460102,5553.0
MA,02325,0.7073170731707317,107024.5,0.2,0.8,0.09104414261460102,7596.0
MA,01079,0.234375,107024.5,0.5957446808510638,0.40425531914893614,0.30434782608695654,29950.0
MA,01224,0.06757903649804664,107024.5,0.4701492537313433,0.5298507462686567,0.09104414261460102,65533.0
MA,02564,0.5621301775147929,107024.5,0.09615384615384616,0.9038461538461539,0.09104414261460102,41531.0
MA,02366,0.06757903649804664,107024.5,0.7755102040816326,0.22448979591836735,0.09104414261460102,11232.0
MA,01093,0.06757903649804664,107024.5,0.40425531914893614,0.5957446808510638,0.09104414261460102,73452.0
MA,01229,0.216,107024.5,0.5771428571428572,0.4228571428571429,0.09104414261460102,56496.0
MA,01338,0.06757903649804664,107024.5,0.704225352112676,0.29577464788732394,0.09104414261460102,45881.0
MA,01438,0.01038961038961039,107024.5,0.2679738562091503,0.7320261437908496,0.18487394957983194,47037.0
MA,01003,0.06521739130434782,107024.5,0.037037037037037035,0.9629629629629629,0.09104414261460102,5383.0
MA,01937,0.6477272727272727,107024.5,0.8356164383561644,0.1643835616438356,0.09104414261460102,3956.0
MA,01583,0.07982561635598316,100427.0,0.30830239622004724,0.6916976037799527,0.08819492107069321,53911.0
MA,01904,0.08182226884459763,100597.0,0.4140997830802603,0.5859002169197397,0.11818441335997716,44543.0
MA,01913,0.08174210278170674,100599.0,0.2696955790117791,0.7303044209882209,0.12047713717693836,56297.0
MA,02790,0.07111084029004935,100617.0,0.4336304313226166,0.5663695686773834,0.09443207126948774,51340.0
MA,01906,0.0876595744680851,100819.0,0.43068734089331173,0.5693126591066883,0.11559667320811139,46929.0
MA,01342,0.1697065820777161,100917.0,0.3244575936883629,0.6755424063116371,0.1297539149888143,43523.0
MA,02655,0.05085730892182505,100927.0,0.13868092691622103,0.861319073083779,0.04753199268738574,90850.0
MA,01028,0.035646806902632576,100997.0,0.26274439782162307,0.7372556021783769,0.0764896704797678,50004.0
MA,01473,0.034363411619283066,101161.0,0.3316533896927329,0.6683466103072672,0.06870229007633588,52457.0
MA,01731,0.06757903649804664,101194.0,0.06629834254143646,0.9337016574585635,0.012121212121212121,34297.0
MA,02370,0.0727345446234716,101475.0,0.3695462131447191,0.630453786855281,0.1407985589912939,48224.0
MA,01010,0.06075400054244643,101477.0,0.3276734104046243,0.6723265895953757,0.08586883029073698,54340.0
MA,02170,0.08415714797930646,101840.0,0.33607038123167154,0.6639296187683285,0.1491768254367224,49697.0
MA,01368,0.11202749140893471,101875.0,0.4624881291547958,0.5375118708452041,0.12844036697247707,39802.0
MA,02671,0.029333333333333333,101917.0,0.13695395513577333,0.8630460448642266,0.019148936170212766,81647.0
MA,01501,0.03680096211665664,101929.0,0.32008740692780835,0.6799125930721917,0.14130753444737615,50080.0
MA,02188,0.0580995235574378,102236.0,0.3506363027461487,0.6493636972538513,0.12813411078717202,56183.0
MA,01452,0.0754014428671166,102344.0,0.34121840570317563,0.6587815942968244,0.09325153374233129,44441.0
MA,01915,0.10696886804741436,102347.0,0.24839687125643012,0.7516031287435698,0.13471752776436505,55760.0
MA,01360,0.07150368033648791,102470.0,0.3300404131118096,0.6699595868881904,0.08261211644374508,50897.0
MA,01952,0.055325185508511565,102521.0,0.3127740840288584,0.6872259159711416,0.10061957868649318,53254.0
MA,01373,0.034236804564907276,102578.0,0.23342175066312998,0.76657824933687,0.07214254671881791,60727.0
MA,01072,0.043170559094125975,103188.0,0.18063958513396716,0.8193604148660328,0.10413223140495868,49614.0
MA,01844,0.08930685506969639,103292.0,0.41077405017537283,0.5892259498246272,0.19456411892984415,44672.0
MA,02368,0.09317581492554643,103321.0,0.3730801121332965,0.6269198878667035,0.2475708981752113,47844.0
MA,01034,0.0634765625,103603.0,0.33191230207064554,0.6680876979293544,0.028506271379703536,55380.0
MA,02072,0.06995025913944833,104164.0,0.34375294228415404,0.656247057715846,0.11951017401712549,49598.0
MA,02657,0.1292119186856029,104500.0,0.18935978358881875,0.8106402164111812,0.14355948869223206,89803.0
MA,02791,0.06757903649804664,104712.0,0.03806228373702422,0.9619377162629758,0.09104414261460102,82970.0
MA,01270,0.043043043043043044,104961.0,0.27019867549668874,0.7298013245033113,0.07518796992481203,56308.0
MA,02171,0.11630153001575763,104992.0,0.3095252908604492,0.6904747091395508,0.12085441259134345,59649.0
MA,02644,0.04460966542750929,105000.0,0.26238019169329074,0.7376198083067093,0.109375,52576.0
MA,01432,0.07141965289049819,105142.0,0.29532417868937944,0.7046758213106206,0.10427350427350428,56876.0
MA,02748,0.05436033643204958,105455.0,0.3538928210313448,0.6461071789686552,0.15554182117840956,63784.0
MA,01096,0.043824701195219126,105729.0,0.2372022301064369,0.7627977698935631,0.05415499533146592,53903.0
MA,01536,0.08183825558929064,105795.0,0.2699539524174981,0.7300460475825019,0.1400198609731877,52781.0
MA,02152,0.08187565858798736,106357.0,0.3139188422247446,0.6860811577752554,0.12806264208133367,59226.0
MA,02338,0.02769151138716356,106851.0,0.33962620351142153,0.6603737964885784,0.11736930860033727,48218.0
MA,02343,0.07407407407407407,107198.0,0.35385918219211226,0.6461408178078877,0.11785462244177841,47224.0
MA,01749,0.05509835407466881,107202.0,0.29244895162395507,0.707551048376045,0.07275214525556523,55095.0
MA,01071,0.03812549642573471,107292.0,0.4678111587982833,0.5321888412017167,0.0708955223880597,54988.0
MA,02718,0.11321279554937413,107570.0,0.4022027330205996,0.5977972669794004,0.07042817126850741,39920.0
MA,01366,0.06491228070175438,107656.0,0.284789644012945,0.7152103559870551,0.07775377969762419,47450.0
MA,01542,0.018195050946142648,107674.0,0.35,0.65,0.0994263862332696,49239.0
MA,01801,0.0653955634079309,107754.0,0.31638589058139144,0.6836141094186086,0.11320293398533007,56975.0
MA,02382,0.06399576887478514,107794.0,0.3702405758666414,0.6297594241333586,0.08463677441779631,46233.0
MA,02668,0.01322860686233981,108042.0,0.14255205552589428,0.8574479444741057,0.0690978886756238,48583.0
MA,01253,0.0225,108068.0,0.2655086848635236,0.7344913151364765,0.05459057071960298,61152.0
MA,01835,0.03539213661089306,108275.0,0.289904570567554,0.710095429432446,0.11463683052090975,48728.0
MA,02035,0.0524200119506763,108559.0,0.206023433199654,0.793976566800346,0.10112986469521551,62746.0
MA,01077,0.04207330297115593,108833.0,0.37746806039488967,0.6225319396051103,0.07454068241469816,50685.0
MA,01094,0.06757903649804664,109000.0,0.3695652173913043,0.6304347826086957,0.3125,29645.0
MA,02131,0.09980123108489357,109237.0,0.30649813369528334,0.6935018663047167,0.19278656920234558,58481.0
MA,02760,0.053838725253500724,109350.0,0.29487119107050347,0.7051288089294966,0.09100677797983138,55975.0
MA,01434,0.09647058823529411,109651.0,0.4877384196185286,0.5122615803814714,0.04573170731707317,30963.0
MA,01462,0.0718001193826213,109884.0,0.31862919482983515,0.6813708051701648,0.08880564125165272,50853.0
MA,02763,0.033728919425359154,109970.0,0.20692567567567569,0.7930743243243243,0.015852047556142668,59115.0
MA,01033,0.05004115226337449,110188.0,0.33589370977787003,0.66410629022213,0.03741630563213864,60649.0
MA,02113,0.11049641148325359,110321.0,0.1080582325199918,0.8919417674800082,0.0458128078817734,86182.0
MA,02726,0.03984469479982178,110427.0,0.372411517201551,0.6275884827984489,0.08606431852986217,50108.0
MA,01431,0.028553498588013804,110536.0,0.325219473264166,0.674780526735834,0.028481012658227847,55297.0
MA,01036,0.023464599061416038,110703.0,0.23113802674741357,0.7688619732525864,0.04681933842239186,50922.0
MA,02538,0.04962171784601691,110882.0,0.38191395961369623,0.6180860403863038,0.132830626450116,43860.0
MA,01468,0.04539785482664006,110938.0,0.30910852713178294,0.6908914728682171,0.144777031154551,48621.0
MA,01908,0.04591061112800243,111004.0,0.22528482175670708,0.774715178243293,0.048628428927680795,91157.0
MA,01346,0.08478802992518704,111150.0,0.32,0.68,0.1724137931034483,61134.0
MA,01518,0.09189366590088612,111193.0,0.2911392405063291,0.7088607594936709,0.24057738572574178,58296.0
MA,02666,0.06497622820919176,111344.0,0.15615141955835962,0.8438485804416404,0.17274939172749393,67068.0
MA,01826,0.06712452220392182,111451.0,0.4020569137577897,0.5979430862422103,0.1372952506379126,47708.0
MA,02675,0.061934585942936674,111555.0,0.17179846046186145,0.8282015395381386,0.06844224218024156,63929.0
MA,02360,0.05809695032627513,111975.0,0.2796520933367029,0.7203479066632971,0.07849895437998605,57099.0
MA,01038,0.06527947776417789,112083.0,0.19689673622257892,0.803103263777421,0.05367231638418079,57308.0
MA,02324,0.04189021873710277,112445.0,0.383494376683035,0.616505623316965,0.09097712208680778,50770.0
MA,02341,0.023121941859349515,112457.0,0.3692641868042357,0.6307358131957643,0.0829342072094782,57742.0
MA,02180,0.04710461861441567,112635.0,0.27672009721659624,0.7232799027834037,0.07289915966386555,60479.0
MA,02452,0.11266580394694274,112902.0,0.2666104197426703,0.7333895802573297,0.09882869692532943,50931.0
MA,01469,0.06930415263748597,113162.0,0.3023789649415693,0.6976210350584308,0.07446408424219632,48392.0
MA,01254,0.05202913631633715,113304.0,0.2011904761904762,0.7988095238095239,0.04408352668213457,97115.0
MA,01245,0.08333333333333333,113750.0,0.21996879875195008,0.7800312012480499,0.034161490683229816,69203.0
MA,01054,0.0930493273542601,113750.0,0.17564575645756458,0.8243542435424355,0.10784313725490197,62211.0
MA,02453,0.08379075938783671,114029.0,0.25287791937088444,0.7471220806291156,0.07876064333017975,58114.0
