state_x,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income,num_food_access,num_grocery,num_food_pantries,num_fast_food,num_restaurants,cluster,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state_y,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
MA,01247,0.1327557294577976,55544.0,0.4931226765799256,0.5068773234200743,0.2558381674847538,36775.0,16.0,0.0,0.0,1.0,13.0,1,STANDARD,0,North Adams,"Clarksburg, Florida","N Adams, No Adams",MA,Berkshire County,America/New_York,"413, 802",,US,42.68,-73.11,11360
MA,01151,0.1755813953488372,57113.0,0.5685058896466212,0.4314941103533788,0.3899057127010538,26701.0,2.0,1.0,0.0,0.0,1.0,1,STANDARD,0,Indian Orchard,"Indian Orch, Springfield",Spfld,MA,Hampden County,America/New_York,413,,US,42.15,-72.51,7610
MA,01376,0.0892857142857142,57857.0,0.4231562661165549,0.5768437338834451,0.25,35292.0,4.0,1.0,0.0,0.0,3.0,1,STANDARD,0,Turners Falls,,,MA,Franklin County,America/New_York,413,,US,42.59,-72.55,4380
MA,01031,0.2003535651149086,58125.0,0.4490532010820559,0.5509467989179441,0.236728837876614,34862.0,0.0,0.0,0.0,0.0,0.0,1,STANDARD,0,Gilbertville,,Old Furnace,MA,Worcester County,America/New_York,"413, 508, 774",,US,42.33,-72.2,1020
MA,02558,0.1813186813186813,58594.0,0.5770958083832335,0.4229041916167664,0.0853932584269663,46713.0,1.0,0.0,0.0,0.0,1.0,1,PO BOX,0,Onset,,,MA,Plymouth County,America/New_York,"508, 774",,US,41.74,-70.66,2189
MA,01119,0.1807629807320281,59172.0,0.5332753371030883,0.4667246628969117,0.2503351848304922,30312.0,5.0,2.0,0.0,3.0,0.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.12,-72.51,11120
MA,01550,0.1793559516963772,59397.0,0.5177566954915624,0.4822433045084375,0.3809261300992282,33664.0,9.0,2.0,0.0,2.0,5.0,1,STANDARD,0,Southbridge,,"Globe Village, Sandersdale",MA,Worcester County,America/New_York,"508, 774, 860, 959",,US,42.08,-72.03,15240
MA,01609,0.2151912219026313,61411.0,0.3143787385477398,0.6856212614522602,0.2624544349939247,37853.0,22.0,1.0,0.0,4.0,12.0,1,STANDARD,0,Worcester,,,MA,Worcester County,America/New_York,"508, 774",,US,42.29,-71.83,12910
MA,02120,0.388099173553719,61472.0,0.3737700498719504,0.6262299501280496,0.287248028045574,29186.0,14.0,1.0,0.0,7.0,5.0,1,STANDARD,0,Roxbury Crossing,"Boston, Mission Hill, Roxbury, Roxbury Xing",,MA,Suffolk County,America/New_York,"617, 857",,US,42.33,-71.1,7500
MA,02576,0.1112119836586473,61735.0,0.5727411944869831,0.4272588055130168,0.4049450549450549,38811.0,1.0,0.0,0.0,0.0,0.0,1,STANDARD,0,West Wareham,,W Wareham,MA,Plymouth County,America/New_York,"508, 774",,US,41.78,-70.75,3860
MA,02720,0.1631877920069913,62907.0,0.5029881328438487,0.4970118671561513,0.2687412587412587,36279.0,17.0,1.0,0.0,12.0,4.0,1,STANDARD,0,Fall River,,,MA,Bristol County,America/New_York,"508, 774",,US,41.73,-71.12,25410
MA,02601,0.1186301530522488,62989.0,0.4659402882635552,0.5340597117364447,0.2158676759181385,39177.0,18.0,2.0,0.0,6.0,9.0,1,STANDARD,0,Hyannis,,,MA,Barnstable County,America/New_York,"508, 774",,US,41.65,-70.29,14410
MA,01440,0.1475442433883476,63526.0,0.4639714479108978,0.5360285520891022,0.233787828400399,34495.0,17.0,1.0,0.0,4.0,11.0,1,STANDARD,0,Gardner,,,MA,Worcester County,America/New_York,"351, 978",,US,42.58,-71.98,17300
MA,01603,0.1482831666584561,63646.0,0.4595921707699652,0.5404078292300348,0.3408336407229804,32659.0,13.0,3.0,0.0,4.0,5.0,1,STANDARD,0,Worcester,,Webster Square,MA,Worcester County,America/New_York,"508, 774",,US,42.24,-71.84,17630
MA,01013,0.1769664187514086,64039.0,0.4771212794313638,0.5228787205686362,0.3085139805215205,34418.0,5.0,0.0,0.0,2.0,2.0,1,STANDARD,0,Chicopee,Willimansett,,MA,Hampden County,America/New_York,413,,US,42.15,-72.6,19090
MA,01607,0.1826654240447343,66365.0,0.4688236217999058,0.5311763782000942,0.2527851458885942,38315.0,5.0,1.0,0.0,2.0,2.0,1,STANDARD,0,Worcester,,,MA,Worcester County,America/New_York,"508, 774",,US,42.23,-71.79,7640
MA,01902,0.1579786510081468,66755.0,0.5894909199166418,0.4105090800833581,0.356567242281528,31825.0,4.0,0.0,1.0,1.0,2.0,1,STANDARD,0,Lynn,,,MA,Essex County,America/New_York,"339, 351, 781, 978",,US,42.47,-70.94,42330
MA,01850,0.187312267211342,67581.0,0.5529565868263473,0.4470434131736527,0.2521694742215416,26545.0,5.0,1.0,0.0,0.0,3.0,1,STANDARD,0,Lowell,,,MA,Middlesex County,America/New_York,"351, 978",,US,42.66,-71.3,14350
MA,01331,0.1022593896713615,68345.0,0.4988904579382691,0.5011095420617309,0.2564055299539171,32233.0,7.0,1.0,0.0,4.0,1.0,1,STANDARD,0,Athol,Phillipston,,MA,Worcester County,America/New_York,"351, 978",,US,42.59,-72.23,11930
MA,01570,0.143039369165652,68934.0,0.4099173553719008,0.5900826446280992,0.1972415640064274,38779.0,4.0,1.0,0.0,2.0,1.0,1,STANDARD,0,Webster,Dudley Hill,,MA,Worcester County,America/New_York,"508, 774, 860, 959",,US,42.04,-71.87,15780
MA,01420,0.140720954615807,70334.0,0.4520478800115373,0.5479521199884626,0.2679383452430166,36718.0,4.0,0.0,0.0,1.0,3.0,1,STANDARD,0,Fitchburg,,,MA,Worcester County,America/New_York,"351, 978",,US,42.58,-71.81,35190
MA,01854,0.1946751533028021,70397.0,0.468751780322452,0.531248219677548,0.303970701619121,33835.0,10.0,0.0,0.0,1.0,7.0,1,STANDARD,0,Lowell,,,MA,Middlesex County,America/New_York,"351, 978",,US,42.65,-71.35,20420
MA,01020,0.1352960635130665,70971.0,0.4951191115887515,0.5048808884112485,0.2350861688024746,37714.0,10.0,0.0,1.0,7.0,1.0,1,STANDARD,0,Chicopee,,,MA,Hampden County,America/New_York,413,,US,42.17,-72.57,25820
MA,01082,0.1084648493543758,71023.0,0.4686495176848874,0.5313504823151125,0.2496234129545943,37542.0,3.0,0.0,0.0,2.0,1.0,1,STANDARD,0,Ware,Hardwick,,MA,Hampshire County,America/New_York,"351, 413, 508, 774, 978",,US,42.25,-72.24,9300
